C  756   668
C  2808   2669
C  4059   3888
C  4057   3887
C  3894   3733
C  3421   3420
C  4230   4407
C  2812   2811
C  2544   2545
C  2398   2269
C  2668   2669
C  2264   2393
C  651   568
C  5125   5124
C  5483   5482
C  6686   6857
C  6690   6691
C  7027   6857
C  7364   7534
C  6518   6341
C  2384   2385
C  6017   5838
C  2954   2811
C  5103   5102
C  2287   2416
C  2410   2540
C  2032   1906
C  5819   5641
C  1798   1671
C  1424   1548
C  7234   7233
C  2013   2140
C  1509   1508
C  1260   1148
C  1148   1147
C  4567   4746
C  4209   4385
C  6514   6337
C  10458   10310
C  1053   1054
C  960   1054
C  1300   1189
C  2290   2419
C  1541   1417
C  25858   26036
C  37206   37029
C  6190   6014
C  2260   2131
C  1804   1930
C  2986   2987
C  10045   9895
