-1.0           0.0           0.000
N              7744         0.040          181.07        203
N              7745         0.040          150           202
N              7575         0.040          150           201
N              7576         0.040          150           200
N              7577         0.040          150           199
N              7578         0.040          150           198
N              7579         0.040          150           197
N              7409         0.040          181.07        196
N              7240         0.040          181.07        195
N              7070         0.040          150           194
N              7071         0.040          150           193
N              6901         0.040          150           192
N              6902         0.040          150           191
N              6731         0.040          150           190
-1.0           0.0           0.000
N              4059         0.040          150           214
N              4233         0.040          150           215
N              4409         0.040          181.07        216
N              4589         0.040          181.07        217
N              4590         0.040          150           218
N              4591         0.040          150           219
-1.0           0.0           0.000
N              2811         0.040          150           220
N              2671         0.040          181.07        221
N              2670         0.040          150           222
N              2669         0.040          181.07        223
N              2530         0.040          212.13        224
N              2399         0.040          212.13        225
N              2269         0.040          212.13        226
N              2140         0.040          212.13        227
N              2267         0.040          181.07        228
N              2266         0.040          150           229
N              2265         0.040          181.07        230
N              2393         0.040          181.07        231
N              2392         0.040          150           232
N              2391         0.040          150           233
N              2390         0.040          181.07        234
N              2260         0.040          150           235
-1.0           0.0           0.000
N              4057         0.040          150           236
N              4230         0.040          212.13        237
-1.0           0.0           0.000
N              25858        0.030          150           238
N              25677        0.030          150           239
N              25499        0.030          181.07        240
N              25323        0.030          212.13        241
N              25148        0.030          212.13        242
N              24973        0.030          181.07        243
N              24799        0.030          150           244
N              24619        0.030          150           245
N              24439        0.031          181.07        246
N              24260        0.032          181.07        247
N              24077        0.032          150           248
N              23897        0.033          181.07        249
N              23716        0.033          212.13        250
N              23535        0.034          181.07        251
N              23361        0.034          150           252
N              23187        0.035          181.07        253
N              23014        0.036          212.13        254
N              22841        0.037          181.07        255
N              22668        0.038          181.07        256
N              22497        0.039          181.07        257
N              22326        0.040          150           258
N              22155        0.040          150           259
N              22154        0.040          150           260
N              22153        0.040          181.07        261
N              21982        0.040          212.13        262
N              21811        0.040          181.07        263
N              21640        0.040          150           264
N              21473        0.040          150           265
N              21310        0.040          150           266
N              21145        0.040          150           267
N              20981        0.040          150           268
N              20982        0.040          150           269
N              20983        0.040          150           270
N              20984        0.040          150           271
N              20985        0.040          150           272
N              20822        0.040          181.07        273
N              20661        0.040          181.07        274
N              20503        0.040          150           275
N              20349        0.040          150           276
N              20196        0.040          150           277
N              20042        0.040          181.07        278
N              19891        0.040          181.07        279
N              19740        0.040          181.07        280
N              19593        0.040          212.13        281
N              19453        0.040          212.13        282
N              19314        0.040          181.07        283
N              19174        0.040          181.07        284
N              19035        0.040          181.07        285
N              18896        0.040          150           286
N              18758        0.040          181.07        287
N              18624        0.040          212.13        288
N              18490        0.040          181.07        289
N              18355        0.040          181.07        290
N              18220        0.040          181.07        291
N              18082        0.040          150           292
N              17944        0.040          150           293
N              17805        0.040          150           294
N              17666        0.040          150           295
N              17527        0.040          150           296
N              17388        0.040          181.07        297
N              17250        0.040          181.07        298
N              17251        0.040          150           299
N              17252        0.040          150           300
N              17253        0.040          150           301
N              17254        0.040          181.07        302
N              17116        0.040          181.07        303
N              17117        0.040          150           304
N              16982        0.040          150           305
N              16983        0.040          181.07        306
N              16850        0.040          212.13        307
N              16717        0.040          181.07        308
N              16718        0.040          150           309
N              16719        0.040          150           310
N              16720        0.040          181.07        311
N              16855        0.040          181.07        312
N              16856        0.040          150           313
N              16857        0.040          150           314
N              16723        0.040          150           315
N              16589        0.040          181.07        316
N              16453        0.040          181.07        317
N              16319        0.040          150           318
N              16185        0.040          181.07        319
N              16050        0.040          181.07        320
N              15915        0.040          150           321
N              15780        0.040          150           322
N              15644        0.040          181.07        323
N              15506        0.040          181.07        324
N              15370        0.040          150           325
N              15234        0.040          181.07        326
N              15100        0.040          181.07        327
N              14966        0.040          150           328
N              14832        0.040          150           329
N              14698        0.040          150           330
N              14567        0.040          150           331
N              14566        0.040          150           332
N              14435        0.040          181.07        333
N              14303        0.040          181.07        334
N              14302        0.040          181.07        335
N              14175        0.040          181.07        336
N              14174        0.040          181.07        337
N              14050        0.040          181.07        338
N              13927        0.040          150           339
N              13928        0.040          181.07        340
N              13807        0.040          181.07        341
N              13685        0.040          150           342
N              13562        0.040          150           343
N              13440        0.040          181.07        344
N              13317        0.040          150           345
N              13194        0.040          181.07        346
N              13070        0.040          150           347
N              12947        0.040          150           348
N              12821        0.040          150           349
N              12694        0.040          150           350
N              12553        0.040          150           351
N              12410        0.040          181.07        352
N              12265        0.039          181.07        353
N              12117        0.039          181.07        354
N              11970        0.038          181.07        355
N              11822        0.038          150           356
N              11673        0.037          150           357
N              11525        0.037          181.07        358
N              11378        0.036          181.07        359
N              11232        0.035          150           360
N              11085        0.035          181.07        361
N              10939        0.035          181.07        362
N              10792        0.035          181.07        363
N              10644        0.035          212.13        364
N              10495        0.035          150           365
N              10346        0.035          181           366
N              10198        0.035          150           367
N              10046        0.035          181.07        368
N              9895         0.036          181.07        369
N              9743         0.037          181.07        370
N              9588         0.037          181.07        371
N              9589         0.038          150           372
N              9590         0.038          150           373
N              9434         0.039          150           374
N              9276         0.039          181.07        375
N              9108         0.040          212.13        376
N              8939         0.040          212.13        377
N              8769         0.040          181.07        378
N              8770         0.040          181.07        379
N              8598         0.040          181.07        380
N              8431         0.040          150           381
N              8265         0.040          150           382
N              8095         0.040          150           383
N              7925         0.040          181.07        384
N              7754         0.040          181.07        385
N              7584         0.040          150           386
N              7415         0.040          150           387
N              7416         0.040          150           388
N              7246         0.040          181.07        389
N              7077         0.040          212.13        390
N              6906         0.040          212.13        391
N              6734         0.040          181.07        392
N              6733         0.040          150           393
N              6732         0.040          150           394
N              6559         0.040          181.07        395
N              6382         0.040          181.07        396
N              6204         0.040          150           397
N              6027         0.040          150           398
N              5849         0.040          181.07        399
N              5671         0.040          181.07        400
N              5672         0.040          150           401
N              5673         0.040          150           402
N              5495         0.040          150           403
N              5316         0.040          181.07        404
N              5135         0.040          181.07        405
N              4956         0.040          181.07        406
N              4776         0.040          181.07        407
N              4597         0.040          150           408
N              4418         0.040          150           409
N              4242         0.040          150           410
N              4068         0.040          150           411
N              3898         0.040          150           412
N              3899         0.040          150           413
N              3739         0.040          150           414
N              3740         0.040          150           415
N              3741         0.040          181.07        416
N              3902         0.040          181.07        417
N              4072         0.040          181.07        418
N              4247         0.040          181.07        419
N              4248         0.040          150           420
N              4074         0.040          150           421
N              3904         0.040          150           422
N              3744         0.040          150           423
N              3587         0.040          150           424
N              3431         0.040          181.07        425
